,1,index,x,norm
0,0,0,0.0346,0.0
1,3691,1,0.10387607843137253,74716.5991902834
2,7592,2,0.17315215686274507,153684.2105263158
3,8087,3,0.2424282352941176,163704.45344129554
4,6184,4,0.3117043137254902,125182.18623481781
5,5763,5,0.3809803921568627,116659.91902834008
6,5207,6,0.45025647058823526,105404.85829959514
7,4557,7,0.5195325490196078,92246.96356275304
8,3681,8,0.5888086274509803,74514.17004048583
9,2863,9,0.6580847058823528,57955.465587044535
10,2227,10,0.7273607843137253,45080.97165991903
11,1918,11,0.7966368627450979,38825.91093117409
12,1615,12,0.8659129411764704,32692.30769230769
13,1722,13,0.935189019607843,34858.2995951417
14,4750,14,1.0044650980392156,96153.84615384616
15,13377,15,1.073741176470588,270789.4736842105
16,19655,16,1.1430172549019606,397874.4939271255
17,19759,17,1.2122933333333332,399979.75708502025
18,15765,18,1.2815694117647056,319129.5546558704
19,11774,19,1.3508454901960782,238340.08097165992
20,7666,20,1.4201215686274506,155182.1862348178
21,4846,21,1.4893976470588233,98097.16599190283
22,2787,22,1.558673725490196,56417.004048582996
23,1787,23,1.6279498039215683,36174.08906882591
24,1054,24,1.697225882352941,21336.032388663967
25,651,25,1.7665019607843135,13178.137651821862
26,504,26,1.835778039215686,10202.42914979757
27,412,27,1.9050541176470586,8340.08097165992
28,365,28,1.9743301960784312,7388.663967611336
29,379,29,2.043606274509804,7672.064777327935
30,425,30,2.112882352941176,8603.238866396761
31,419,31,2.182158431372549,8481.781376518218
32,461,32,2.2514345098039215,9331.983805668016
33,473,33,2.320710588235294,9574.8987854251
34,522,34,2.3899866666666667,10566.801619433198
35,626,35,2.459262745098039,12672.064777327936
36,694,36,2.5285388235294115,14048.582995951418
37,1045,37,2.5978149019607844,21153.846153846152
38,1835,38,2.6670909803921568,37145.748987854255
39,3727,39,2.736367058823529,75445.34412955465
40,7121,40,2.8056431372549016,144149.7975708502
41,12015,41,2.8749192156862744,243218.62348178137
42,16637,42,2.944195294117647,336781.3765182186
43,19555,43,3.013471372549019,395850.2024291498
44,19040,44,3.082747450980392,385425.1012145749
45,16505,45,3.1520235294117644,334109.31174089067
46,12119,46,3.221299607843137,245323.88663967612
47,8021,47,3.2905756862745097,162368.42105263157
48,4789,48,3.359851764705882,96943.31983805668
49,2775,49,3.4291278431372545,56174.08906882591
50,1475,50,3.4984039215686273,29858.2995951417
51,862,51,3.5676799999999997,17449.39271255061
52,587,52,3.636956078431372,11882.59109311741
53,451,53,3.706232156862745,9129.554655870445
54,394,54,3.7755082352941174,7975.708502024291
55,287,55,3.84478431372549,5809.716599190284
56,273,56,3.9140603921568626,5526.315789473684
57,237,57,3.983336470588235,4797.570850202429
58,230,58,4.052612549019607,4655.87044534413
59,205,59,4.12188862745098,4149.797570850203
60,182,60,4.191164705882352,3684.2105263157896
61,176,61,4.260440784313725,3562.753036437247
62,165,62,4.329716862745098,3340.080971659919
63,161,63,4.39899294117647,3259.109311740891
64,168,64,4.468269019607843,3400.8097165991903
65,157,65,4.537545098039216,3178.137651821862
