  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
 50.0477  12.4325  344.918   96  2.8194E+00  4.1601E+00
 49.9986  12.2505  320.906   97  3.3042E+00  4.2151E+00
 49.9355  12.0632  296.740   98  3.8638E+00  4.2795E+00
 49.8628  11.8851  276.763   99  4.3810E+00  4.3525E+00
 49.8284  11.8039  268.976  100  4.5957E+00  4.4291E+00
 49.7880  11.7090  261.457  101  4.8105E+00  4.5093E+00
 49.7126  11.5329  247.921  102  5.2164E+00  4.5963E+00
 49.6421  11.3694  238.466  103  5.5112E+00  4.6881E+00
 49.5707  11.2025  232.841  104  5.6834E+00  4.7828E+00
 49.5075  11.0300  230.653  105  5.7401E+00  4.8785E+00
 49.4526  10.8562  230.775  106  5.7169E+00  4.9738E+00
 49.3979  10.6854  230.806  107  5.6983E+00  5.0687E+00
 49.3436  10.5165  230.711  108  5.6845E+00  5.1635E+00
 49.2889  10.3484  230.770  109  5.6653E+00  5.2579E+00
 49.2613  10.2646  230.908  110  5.6518E+00  5.3521E+00
 49.2337  10.1807  230.759  111  5.6485E+00  5.4463E+00
 49.1717  10.0213  230.514  112  5.6380E+00  5.5402E+00
 49.0883   9.8811  230.489  113  5.6148E+00  5.6338E+00
 48.9913   9.7529  230.452  114  5.5879E+00  5.7269E+00
 48.8878   9.6164  230.163  115  5.5683E+00  5.8197E+00
 48.7655   9.4566  229.843  116  5.5439E+00  5.9121E+00
 48.6986   9.3699  229.706  117  5.5291E+00  6.0043E+00
 48.6411   9.2952  229.710  118  5.5124E+00  6.0962E+00
 48.5352   9.1580  229.471  119  5.4899E+00  6.1877E+00
 48.4235   9.0153  228.776  120  5.4801E+00  6.2790E+00
 48.3101   8.8672  228.556  121  5.4543E+00  6.3699E+00
 48.2600   8.7993  228.788  122  5.4320E+00  6.4604E+00
 48.2125   8.7330  228.587  123  5.4250E+00  6.5508E+00
 48.1189   8.6028  228.313  124  5.4071E+00  6.6410E+00
 48.0254   8.4734  228.389  125  5.3807E+00  6.7306E+00
 47.9312   8.3437  228.743  126  5.3460E+00  6.8197E+00
 47.8376   8.2157  228.705  127  5.3246E+00  6.9085E+00
 47.7442   8.0885  228.256  128  5.3166E+00  6.9971E+00
 47.6509   7.9620  227.928  129  5.3043E+00  7.0855E+00
 47.5574   7.8359  227.772  130  5.2861E+00  7.1736E+00
 47.4635   7.7123  227.761  131  5.2628E+00  7.2613E+00
 47.3613   7.6017  227.557  132  5.2436E+00  7.3487E+00
 47.2521   7.5026  227.394  133  5.2214E+00  7.4357E+00
 47.1434   7.4045  227.185  134  5.2005E+00  7.5224E+00
 47.0888   7.3552  226.913  135  5.1951E+00  7.6090E+00
 47.0097   7.2847  227.071  136  5.1699E+00  7.6952E+00
 46.8765   7.1663  227.239  137  5.1323E+00  7.7807E+00
 46.7685   7.0706  226.885  138  5.1170E+00  7.8660E+00
 46.6606   6.9754  226.397  139  5.1056E+00  7.9511E+00
 46.5526   6.8807  226.371  140  5.0801E+00  8.0357E+00
 46.4439   6.7857  226.025  141  5.0647E+00  8.1202E+00
 46.3328   6.6891  225.650  142  5.0519E+00  8.2043E+00
 46.2763   6.6403  225.716  143  5.0375E+00  8.2883E+00
 46.2208   6.5924  225.439  144  5.0337E+00  8.3722E+00
 46.1026   6.5000  225.396  145  5.0091E+00  8.4557E+00
 45.9776   6.4234  225.458  146  4.9796E+00  8.5387E+00
 45.8518   6.3587  225.181  147  4.9590E+00  8.6213E+00
 45.7257   6.2943  225.070  148  4.9339E+00  8.7036E+00
 45.6002   6.2304  224.780  149  4.9139E+00  8.7855E+00
 45.4749   6.1666  224.414  150  4.8959E+00  8.8671E+00
 45.3506   6.1037  224.153  151  4.8749E+00  8.9483E+00
 45.2275   6.0419  223.985  152  4.8512E+00  9.0292E+00
 45.1059   5.9793  223.886  153  4.8260E+00  9.1096E+00
 44.9870   5.9163  223.809  154  4.8012E+00  9.1896E+00
 44.8709   5.8544  223.597  155  4.7799E+00  9.2693E+00
 44.8133   5.8236  223.354  156  4.7731E+00  9.3488E+00
 44.7554   5.7928  223.425  157  4.7575E+00  9.4281E+00
 44.6398   5.7317  223.235  158  4.7358E+00  9.5071E+00
 44.5248   5.6713  222.942  159  4.7196E+00  9.5857E+00
 44.4110   5.6118  223.030  160  4.6930E+00  9.6639E+00
 44.2979   5.5529  222.803  161  4.6752E+00  9.7419E+00
 44.1854   5.4946  222.139  162  4.6704E+00  9.8197E+00
 44.0723   5.4362  221.642  163  4.6607E+00  9.8974E+00
 43.9584   5.3776  221.263  164  4.6463E+00  9.9748E+00
 43.8443   5.3191  221.431  165  4.6150E+00  1.0052E+01
 43.7296   5.2606  221.570  166  4.5845E+00  1.0128E+01
 43.6146   5.2022  221.017  167  4.5722E+00  1.0204E+01
 43.5016   5.1360  220.655  168  4.5553E+00  1.0280E+01
 43.3999   5.0477  220.448  169  4.5370E+00  1.0356E+01
 43.3081   4.9457  220.469  170  4.5154E+00  1.0431E+01
 43.2150   4.8427  220.581  171  4.4914E+00  1.0506E+01
 43.1675   4.7902  220.501  172  4.4825E+00  1.0581E+01
 43.0739   4.6873  220.124  173  4.4707E+00  1.0655E+01
 42.9802   4.5847  219.748  174  4.4579E+00  1.0730E+01
 42.9314   4.5314  219.777  175  4.4442E+00  1.0804E+01
 42.8344   4.4258  219.366  176  4.4293E+00  1.0877E+01
 42.7374   4.3206  218.791  177  4.4207E+00  1.0951E+01
 42.6398   4.2153  218.763  178  4.3989E+00  1.1024E+01
 42.5420   4.1103  218.808  179  4.3753E+00  1.1097E+01
 42.4447   4.0040  218.610  180  4.3577E+00  1.1170E+01
 42.3500   3.8706  218.422  181  4.3399E+00  1.1242E+01
 42.2575   3.7116  218.314  182  4.3206E+00  1.1314E+01
 42.2112   3.6323  218.260  183  4.3109E+00  1.1386E+01
 42.1682   3.5580  218.112  184  4.3043E+00  1.1458E+01
 42.0821   3.4096  217.816  185  4.2909E+00  1.1529E+01
 41.9958   3.2616  217.520  186  4.2772E+00  1.1601E+01
 41.9526   3.1878  217.372  187  4.2687E+00  1.1672E+01
 41.9143   3.1229  217.064  188  4.2653E+00  1.1743E+01
 41.8393   2.9960  216.877  189  4.2490E+00  1.1814E+01
 41.7658   2.8718  217.153  190  4.2241E+00  1.1884E+01
 41.6933   2.7500  217.245  191  4.2036E+00  1.1954E+01
 41.6218   2.6311  217.121  192  4.1882E+00  1.2024E+01
 41.5501   2.5125  216.997  193  4.1727E+00  1.2094E+01
 41.4783   2.3941  216.873  194  4.1570E+00  1.2163E+01
 41.4064   2.2759  216.749  195  4.1412E+00  1.2232E+01
 41.3343   2.1581  216.625  196  4.1252E+00  1.2301E+01
 41.2622   2.0405  216.501  197  4.1091E+00  1.2369E+01
 41.1899   1.9231  216.377  198  4.0947E+00  1.2437E+01
 41.1175   1.8060  216.253  199  4.0819E+00  1.2505E+01
 41.0450   1.6892  216.130  200  4.0691E+00  1.2573E+01
 40.9723   1.5726  216.006  201  4.0557E+00  1.2641E+01
 40.8996   1.4563  215.882  202  4.0411E+00  1.2708E+01
 40.8267   1.3402  215.758  203  4.0265E+00  1.2775E+01
 40.7537   1.2244  215.635  204  4.0118E+00  1.2842E+01
 40.6806   1.1088  215.511  205  3.9970E+00  1.2909E+01
 40.6074   0.9935  215.388  206  3.9821E+00  1.2975E+01
 40.5340   0.8785  215.264  207  3.9656E+00  1.3041E+01
 40.4606   0.7637  215.141  208  3.9491E+00  1.3107E+01
 40.3870   0.6491  215.018  209  3.9325E+00  1.3173E+01
 40.3133   0.5348  214.895  210  3.9158E+00  1.3238E+01
 40.2395   0.4207  214.772  211  3.8990E+00  1.3303E+01
 40.1656   0.3069  214.649  212  3.8822E+00  1.3367E+01
 40.0916   0.1934  214.526  213  3.8654E+00  1.3432E+01
 40.0174   0.0800  214.403  214  3.8485E+00  1.3496E+01
 39.9432 359.9670  214.281  215  3.8307E+00  1.3560E+01
 39.8688 359.8541  214.159  216  3.8125E+00  1.3623E+01
 39.7943 359.7416  214.037  217  3.7951E+00  1.3687E+01
 39.7198 359.6292  213.915  218  3.7777E+00  1.3750E+01
 39.6451 359.5171  213.793  219  3.7606E+00  1.3812E+01
 39.5703 359.4053  213.671  220  3.7457E+00  1.3875E+01
 39.4954 359.2936  213.549  221  3.7306E+00  1.3937E+01
 39.4203 359.1823  213.428  222  3.7154E+00  1.3999E+01
 39.3452 359.0711  213.306  223  3.7002E+00  1.4061E+01
