,1,index,x
0,0,0,0.0407
1,3691,1,0.12209999999999999
2,7592,2,0.20349999999999996
3,8087,3,0.2849
4,6184,4,0.36629999999999996
5,5763,5,0.44769999999999993
6,5207,6,0.5290999999999999
7,4557,7,0.6104999999999998
8,3681,8,0.6918999999999998
9,2863,9,0.7732999999999999
10,2227,10,0.8546999999999998
11,1918,11,0.9360999999999998
12,1615,12,1.0174999999999998
13,1722,13,1.0988999999999998
14,4750,14,1.1802999999999997
15,13377,15,1.2616999999999998
16,19655,16,1.3430999999999997
17,19759,17,1.4244999999999997
18,15765,18,1.5058999999999998
19,11774,19,1.5872999999999997
20,7666,20,1.6686999999999996
21,4846,21,1.7500999999999998
22,2787,22,1.8314999999999997
23,1787,23,1.9128999999999996
24,1054,24,1.9942999999999997
25,651,25,2.0757
26,504,26,2.1571
27,412,27,2.2384999999999997
28,365,28,2.3198999999999996
29,379,29,2.4013
30,425,30,2.4827
31,419,31,2.5641
32,461,32,2.6454999999999997
33,473,33,2.7268999999999997
34,522,34,2.8082999999999996
35,626,35,2.8896999999999995
36,694,36,2.9711
37,1045,37,3.0524999999999998
38,1835,38,3.1338999999999997
39,3727,39,3.2152999999999996
40,7121,40,3.2966999999999995
41,12015,41,3.3780999999999994
42,16637,42,3.4595
43,19555,43,3.5408999999999997
44,19040,44,3.6222999999999996
45,16505,45,3.7036999999999995
46,12119,46,3.7850999999999995
47,8021,47,3.8664999999999994
48,4789,48,3.9478999999999997
49,2775,49,4.029299999999999
50,1475,50,4.1107
51,862,51,4.192099999999999
52,587,52,4.273499999999999
53,451,53,4.3549
54,394,54,4.436299999999999
55,287,55,4.5177
56,273,56,4.599099999999999
57,237,57,4.680499999999999
58,230,58,4.7619
59,205,59,4.843299999999999
60,182,60,4.9247
61,176,61,5.006099999999999
62,165,62,5.0874999999999995
63,161,63,5.168899999999999
64,168,64,5.250299999999999
65,157,65,5.3317
66,119,66,5.413099999999999
67,132,67,5.4944999999999995
68,141,68,5.575899999999999
69,109,69,5.657299999999999
70,127,70,5.738699999999999
71,101,71,5.820099999999999
72,97,72,5.9014999999999995
73,94,73,5.982899999999999
74,84,74,6.064299999999999
75,90,75,6.145699999999999
76,89,76,6.227099999999999
77,78,77,6.3084999999999996
78,80,78,6.389899999999999
79,95,79,6.471299999999999
80,85,80,6.552699999999999
81,74,81,6.634099999999999
82,69,82,6.715499999999999
83,67,83,6.796899999999999
84,57,84,6.878299999999999
85,74,85,6.959699999999999
86,62,86,7.041099999999999
87,65,87,7.122499999999999
88,57,88,7.203899999999999
89,68,89,7.2852999999999986
90,49,90,7.366699999999999
91,40,91,7.448099999999999
92,48,92,7.529499999999999
93,44,93,7.610899999999999
94,32,94,7.692299999999999
95,40,95,7.773699999999999
96,30,96,7.855099999999999
97,44,97,7.936499999999999
98,41,98,8.0179
99,36,99,8.099299999999998
100,25,100,8.180699999999998
101,38,101,8.262099999999998
102,34,102,8.343499999999997
103,24,103,8.424899999999997
104,20,104,8.506299999999998
105,36,105,8.587699999999998
106,27,106,8.669099999999998
107,19,107,8.750499999999997
108,23,108,8.831899999999997
109,29,109,8.913299999999998
110,16,110,8.994699999999998
111,20,111,9.076099999999999
112,23,112,9.157499999999997
113,24,113,9.238899999999997
114,22,114,9.320299999999998
115,28,115,9.401699999999998
116,24,116,9.483099999999999
117,16,117,9.564499999999997
118,25,118,9.645899999999997
119,24,119,9.727299999999998
120,33,120,9.808699999999998
121,10,121,9.890099999999997
122,25,122,9.971499999999997
123,25,123,10.052899999999998
124,19,124,10.134299999999998
125,15,125,10.215699999999998
126,15,126,10.297099999999997
